E235  Dispatch Call 0 [Event: 235]
l1tex__texin_requests.avg.pct_of_peak_sustained_elapsed,28.373899
pda__input_prims.sum,12.000000
pes__stream_output_attrs.avg.pct_of_peak_sustained_elapsed,0.000000
prop__earlyz_killed_samples.sum,191.000000
prop__earlyz_output_samples.sum,3708.000000
raster__zcull_input_samples.sum,9344.000000
raster__zcull_input_samples_op_rejected.sum,1728.000000
sm__cycles_active.avg,10117163.000000
sm__cycles_active.min,9934566.000000
sm__cycles_active.max,10274912.000000
sm__cycles_active_shader_cs.avg.pct_of_peak_sustained_active,99.994667
sm__cycles_active_shader_gs.avg.pct_of_peak_sustained_active,0.000000
sm__cycles_active_shader_ps.avg.pct_of_peak_sustained_active,0.004376
sm__cycles_active_shader_tcs.avg.pct_of_peak_sustained_active,0.000000
sm__cycles_active_shader_tes.avg.pct_of_peak_sustained_active,0.000000
sm__cycles_active_shader_vs.avg.pct_of_peak_sustained_active,0.000810
sm__cycles_elapsed.avg,10410754.000000
sm__issue_active.avg.pct_of_peak_sustained_active,16.139177
sm__threads_launched_shader_cs.sum,230400.000000
sm__threads_launched_shader_gs.sum,0.000000
sm__threads_launched_shader_ps.sum,12432.000000
sm__threads_launched_shader_ps_killmask_off.sum,3708.000000
sm__threads_launched_shader_tcs.sum,0.000000
sm__threads_launched_shader_tes.sum,0.000000
sm__threads_launched_shader_vs.sum,24.000000
sm__warps_active.avg.pct_of_peak_sustained_active,89.873528
sm__warps_active.avg.per_cycle_active,28.759529
smsp__inst_executed_shader_cs.sum,195911952.000000
smsp__warps_issue_stalled_barrier.avg.pct_of_peak_sustained_active,0.000000
smsp__warps_issue_stalled_dispatch_stall.avg.pct_of_peak_sustained_active,0.040977
smsp__warps_issue_stalled_drain.avg.pct_of_peak_sustained_active,0.049452
smsp__warps_issue_stalled_imc_miss.avg.pct_of_peak_sustained_active,0.071361
smsp__warps_issue_stalled_lg_throttle.avg.pct_of_peak_sustained_active,0.000000
smsp__warps_issue_stalled_long_scoreboard.avg.pct_of_peak_sustained_active,55.483757
smsp__warps_issue_stalled_math_pipe_throttle.avg.pct_of_peak_sustained_active,0.107234
smsp__warps_issue_stalled_membar.avg.pct_of_peak_sustained_active,0.000008
smsp__warps_issue_stalled_mio_throttle.avg.pct_of_peak_sustained_active,0.009045
smsp__warps_issue_stalled_misc.avg.pct_of_peak_sustained_active,0.042038
smsp__warps_issue_stalled_no_instruction.avg.pct_of_peak_sustained_active,0.092368
smsp__warps_issue_stalled_not_selected.avg.pct_of_peak_sustained_active,0.410386
smsp__warps_issue_stalled_short_scoreboard.avg.pct_of_peak_sustained_active,3.073038
smsp__warps_issue_stalled_sleeping.avg.pct_of_peak_sustained_active,0.000000
smsp__warps_issue_stalled_tex_throttle.avg.pct_of_peak_sustained_active,30.381014
smsp__warps_issue_stalled_wait.avg.pct_of_peak_sustained_active,3.500588
smsp__warps_launched.sum,7337.000000
vpc__input_prims.sum,12.000000
vpc__output_prims.sum,6.000000
crop__throughput.avg.pct_of_peak_sustained_elapsed,0.009967
dram__read_throughput.avg.pct_of_peak_sustained_elapsed,21.849337
dram__throughput.avg.pct_of_peak_sustained_elapsed,22.023417
dram__write_throughput.avg.pct_of_peak_sustained_elapsed,0.174079
fbpa__throughput.avg.pct_of_peak_sustained_elapsed,18.079859
l1tex__throughput.avg.pct_of_peak_sustained_elapsed,70.062698
lts__throughput.avg.pct_of_peak_sustained_elapsed,56.930412
pda__throughput.avg.pct_of_peak_sustained_elapsed,0.000012
pes__throughput.avg.pct_of_peak_sustained_elapsed,0.000000
raster__throughput.avg.pct_of_peak_sustained_elapsed,0.000381
