E235  Dispatch Call 0 [Event: 235],
raster__zcull_input_samples.sum,0
raster__zcull_input_samples_op_rejected.sum,0
sm__cycles_active.avg,398811.5625
sm__cycles_active.min,397350
sm__cycles_active.max,399727.5
sm__cycles_active_shader_cs.avg.pct_of_peak_sustained_active,100.003258
sm__cycles_active_shader_gs.avg.pct_of_peak_sustained_active,0
sm__cycles_active_shader_ps.avg.pct_of_peak_sustained_active,0
sm__cycles_active_shader_tcs.avg.pct_of_peak_sustained_active,0
sm__cycles_active_shader_tes.avg.pct_of_peak_sustained_active,0
sm__cycles_active_shader_vs.avg.pct_of_peak_sustained_active,0
sm__cycles_elapsed.avg,410704.6563
sm__issue_active.avg.pct_of_peak_sustained_active,31.038641
sm__threads_launched_shader_cs.sum,2073600
sm__threads_launched_shader_gs.sum,0
sm__threads_launched_shader_ps.sum,0
sm__threads_launched_shader_ps_killmask_off.sum,0
sm__threads_launched_shader_tcs.sum,0
sm__threads_launched_shader_tes.sum,0
sm__threads_launched_shader_vs.sum,0
sm__warps_active.avg.pct_of_peak_sustained_active,93.397919
sm__warps_active.avg.per_cycle_active,29.887335
smsp__inst_executed_shader_cs.sum,14836924
smsp__warps_issue_stalled_barrier.avg.pct_of_peak_sustained_active,10.872087
smsp__warps_issue_stalled_dispatch_stall.avg.pct_of_peak_sustained_active,0.21555
smsp__warps_issue_stalled_drain.avg.pct_of_peak_sustained_active,1.538327
smsp__warps_issue_stalled_imc_miss.avg.pct_of_peak_sustained_active,0.789394
smsp__warps_issue_stalled_lg_throttle.avg.pct_of_peak_sustained_active,0.000001
smsp__warps_issue_stalled_long_scoreboard.avg.pct_of_peak_sustained_active,8.050762
smsp__warps_issue_stalled_math_pipe_throttle.avg.pct_of_peak_sustained_active,0.235364
smsp__warps_issue_stalled_membar.avg.pct_of_peak_sustained_active,0.000187
smsp__warps_issue_stalled_mio_throttle.avg.pct_of_peak_sustained_active,51.614243
smsp__warps_issue_stalled_misc.avg.pct_of_peak_sustained_active,0.023315
smsp__warps_issue_stalled_no_instruction.avg.pct_of_peak_sustained_active,0.349786
smsp__warps_issue_stalled_not_selected.avg.pct_of_peak_sustained_active,7.929681
smsp__warps_issue_stalled_short_scoreboard.avg.pct_of_peak_sustained_active,3.592292
smsp__warps_issue_stalled_sleeping.avg.pct_of_peak_sustained_active,0
smsp__warps_issue_stalled_tex_throttle.avg.pct_of_peak_sustained_active,0.269973
smsp__warps_issue_stalled_wait.avg.pct_of_peak_sustained_active,4.238064
smsp__warps_launched.sum,64800
vpc__input_prims.sum,0
vpc__output_prims.sum,0
crop__throughput.avg.pct_of_peak_sustained_elapsed,0.003075
dram__read_throughput.avg.pct_of_peak_sustained_elapsed,2.608433
dram__throughput.avg.pct_of_peak_sustained_elapsed,6.319605
dram__write_throughput.avg.pct_of_peak_sustained_elapsed,3.711172
